,name,time,clusters
103,yogiooi#1253653486211862530#Line.jpeg,2020-04-24 11:54:17,5
104,f__kyouminge#1251718962900946944#Line.jpeg,2020-04-19 03:47:11,-1
105,mark_j_henry#1247419656467513346#Line.jpeg,2020-04-07 07:03:16,7
106,christianhoney_#1247791171746684929#Line.jpeg,2020-04-08 07:39:32,11
107,peterdorn16#1253580620871000064#Map.jpeg,2020-04-24 07:04:45,73
108,deelanmj#1252210058949099520#Line.jpeg,2020-04-20 12:18:37,32
109,la_cv_data#1243948344680087552#Line.jpeg,2020-03-28 17:09:31,77
110,take__a__chance#1247912386901745672#Map.jpeg,2020-04-08 15:41:12,-1
111,cgypuckcharts#1250197475857584128#Line.jpeg,2020-04-14 23:01:20,64
112,redball2#1264090957068165122#Line.jpeg,2020-05-23 07:09:04,-1
113,statistacharts#1243085726629203968#Line.jpeg,2020-03-26 08:01:47,15
114,mydawsoncollege#1245355940339240964#Line.jpeg,2020-04-01 14:22:48,-1
115,alistairjmoore#1250011913196646400#Map.jpeg,2020-04-14 10:43:58,125
116,davidp805#1253434154496061440#Line.jpeg,2020-04-23 21:22:44,-1
117,parkhun#1241187268317986816#Line.jpeg,2020-03-21 02:17:59,41
118,earnyourcookies#1240676247786549248#Line.jpeg,2020-03-19 16:27:22,89
119,adkinsdebtdiet#1249733599680589825#Bar.jpeg,2020-04-13 16:18:03,121
120,nehalianupriya#1253011209575706624#Line.jpeg,2020-04-22 17:22:06,-1
121,briankingery87#1250434921904009219#Bubble.jpeg,2020-04-15 14:44:51,157
122,paulvcataldo#1249023680589565953#Line.jpeg,2020-04-11 17:17:05,154
123,brianotheworld#1257659171421339648#Bar.jpeg,2020-05-05 13:11:27,-1
124,drsubhasree#1257714609332662279#Line.jpeg,2020-05-05 16:51:44,-1
125,statistacharts#1258661412609589248#Line.jpeg,2020-05-08 07:34:00,24
126,pacotorresca#1250243950981468160#Map.jpeg,2020-04-15 02:06:00,38
127,la_cv_data#1264612716645400581#Line.jpeg,2020-05-24 17:42:21,82
128,realityhammer#1247982576389763075#Line.jpeg,2020-04-08 20:20:07,100
129,datawrapper#1238144797099143170#Line.jpeg,2020-03-12 16:48:17,9
130,peterdorn16#1246259129951203329#Bubble.jpeg,2020-04-04 02:11:45,74
131,williamwilcock#1250965582574309384#Map.jpeg,2020-04-17 01:53:31,124
132,andreaashnews#1248027211925540864#Line.jpeg,2020-04-08 23:17:29,57
133,benwinslow#1260645971018432518#Bar.jpeg,2020-05-13 18:59:55,150
134,smturbeville#1252809908782686209#Bar.jpeg,2020-04-22 04:02:12,-1
135,cityofssf#1245043482059780098#Line.jpeg,2020-03-31 17:41:12,-1
136,afzalshakir#1254330047122423808#Line.jpeg,2020-04-26 08:42:42,106
137,thehowie#1242908419801133061#Map.jpeg,2020-03-25 20:17:14,152
138,drnaifaljohani#1242816253271707650#Line.jpeg,2020-03-25 14:10:59,-1
139,joefav#1244971633120546816#Map.jpeg,2020-03-31 12:55:42,-1
140,metrowatchph#1256138113077796864#Line.jpeg,2020-05-01 08:27:18,-1
141,pacotorresca#1257180683660713985#Map.jpeg,2020-05-04 05:30:06,38
142,christianhoney_#1248146459796615168#Line.jpeg,2020-04-09 07:11:20,11
143,m_saintmary#1247848553092919306#Line.jpeg,2020-04-08 11:27:33,-1
144,boomboxandsocks#1251470912681099264#Bar.jpeg,2020-04-18 11:21:31,-1
145,nickclash#1258329530134958080#Line.jpeg,2020-05-07 09:35:13,109
146,120degreesmnl#1248538360383037440#Bar.jpeg,2020-04-10 09:08:36,46
147,peterdorn16#1246641248175132673#Bubble.jpeg,2020-04-05 03:30:09,74
148,a_jenaini#1265372844093046784#Line.jpeg,2020-05-26 20:02:50,88
149,stevaldo18#1258087782347661313#Map.jpeg,2020-05-06 17:34:36,151
150,carsable#1245092894144434177#Line.jpeg,2020-03-31 20:57:33,106
151,dunkenkbliths#1245239022915424261#Map.jpeg,2020-04-01 06:38:13,147
152,pacotorresca#1252086082948100097#Map.jpeg,2020-04-20 04:05:59,38
153,mommacheese#1256077379279020032#Line.jpeg,2020-05-01 04:25:58,128
154,dlrcc#1247464004559286272#Bar.jpeg,2020-04-07 09:59:30,-1
155,jdkempt#1264576735481417728#Line.jpeg,2020-05-24 15:19:23,27
156,isaifpatel#1243161722422206464#Line.jpeg,2020-03-26 13:03:46,22
157,topherwiles#1242203291133652994#Map.jpeg,2020-03-23 21:35:18,160
158,covid19mapping1#1266353034432569345#Map.jpeg,2020-05-29 12:57:45,-1
159,matt_hopcraft#1241823954395729920#Line.jpeg,2020-03-22 20:27:57,85
160,laktarr001#1243777237503152129#Line.jpeg,2020-03-28 05:49:36,-1
161,aparna_bhutani#1249455750226771973#Bar.jpeg,2020-04-12 21:53:59,158
162,7mto#1243932962246266881#Line.jpeg,2020-03-28 16:08:24,-1
163,captainmeowdy#1248995245716619265#Bar.jpeg,2020-04-11 15:24:06,-1
164,deadleafshrimp#1240664455266144261#Line.jpeg,2020-03-19 15:40:31,89
165,kbremes#1243210462394814465#Line.jpeg,2020-03-26 16:17:26,128
166,la_cv_data#1245035799130918913#Line.jpeg,2020-03-31 17:10:40,77
167,statistacharts#1257331068107194374#Line.jpeg,2020-05-04 15:27:41,24
168,alistairjmoore#1250009294529011712#Bar.jpeg,2020-04-14 10:33:34,-1
169,dunkenkbliths#1249111271691022338#Map.jpeg,2020-04-11 23:05:09,147
170,andreaashnews#1249822676941561856#Line.jpeg,2020-04-13 22:12:01,57
171,peterdorn16#1252488233037869056#Map.jpeg,2020-04-21 06:43:59,73
172,drdenagrayson#1241320967739191297#Bubble.jpeg,2020-03-21 11:09:15,109
173,johnnosta#1243164239981957122#Line.jpeg,2020-03-26 13:13:46,9
174,masyou#1247168954268712960#Bar.jpeg,2020-04-06 14:27:04,-1
175,drjohnhayward#1243240354515767301#Line.jpeg,2020-03-26 18:16:13,103
176,himalistan#1244602835125362688#Line.jpeg,2020-03-30 12:30:14,131
177,bmunch14#1242582882113085440#Line.jpeg,2020-03-24 22:43:39,9
178,davecraige#1240678438920261633#Line.jpeg,2020-03-19 16:36:05,89
179,c19data#1253082638987988993#Map.jpeg,2020-04-22 22:05:56,-1
180,pgetuienis#1255114615496888320#Line.jpeg,2020-04-28 12:40:17,-1
181,deepgreendesign#1244964626862764032#Line.jpeg,2020-03-31 12:27:52,14
182,b2bspecialist#1243196117715738628#Line.jpeg,2020-03-26 15:20:26,23
183,pacotorresca#1251711141614518273#Map.jpeg,2020-04-19 03:16:06,92
184,sleimanskaf#1243500814251024385#Map.jpeg,2020-03-27 11:31:11,70
185,umrbekistan#1243904897684299776#Line.jpeg,2020-03-28 14:16:52,-1
186,kayacolor#1242309775146139649#Line.jpeg,2020-03-24 04:38:26,-1
187,allengreenwood#1249835185593516033#Bar.jpeg,2020-04-13 23:01:43,47
188,laurenbyersmd#1242222060383993861#Line.jpeg,2020-03-23 22:49:53,-1
189,la_cv_data#1265339409752342528#Line.jpeg,2020-05-26 17:49:58,82
190,kb_leecaster#1240681512476917760#Line.jpeg,2020-03-19 16:48:17,-1
191,jfjustthefacts#1247912255179689989#Line.jpeg,2020-04-08 15:40:41,-1
192,jkwan_md#1247901755699945472#Bar.jpeg,2020-04-08 14:58:58,-1
193,adkinsdebtdiet#1249037179424292864#Bar.jpeg,2020-04-11 18:10:44,121
194,kri5ty_victoria#1248234824420036608#Line.jpeg,2020-04-09 13:02:27,28
195,clouddoktor#1243418777179402242#Line.jpeg,2020-03-27 06:05:12,107
196,peterdorn16#1247788550843588609#Line.jpeg,2020-04-08 07:29:07,17
197,stabilitasv#1248059604606451713#Map.jpeg,2020-04-09 01:26:12,105
198,craigthusiast#1248975802617802759#Line.jpeg,2020-04-11 14:06:50,54
199,stevaldo18#1258087788907544577#Bar.jpeg,2020-05-06 17:34:37,151
200,lukassustala#1240648997917917188#Line.jpeg,2020-03-19 14:39:05,2
